id,pert,gene,label
Leng8_Pdia3,Leng8,Pdia3,none
Dido1_Atp8a2,Dido1,Atp8a2,up
Stk11_Clec4e,Stk11,Clec4e,none
Irak4_Psma6,Irak4,Psma6,down
Runx1_Nedd4,Runx1,Nedd4,up
Nelfb_Brd2,Nelfb,Brd2,up
Gpn2_Cd72,Gpn2,Cd72,none
Polr1f_Pak1,Polr1f,Pak1,none
Ctcf_Map4k3,Ctcf,Map4k3,none
Cct4_Sqstm1,Cct4,Sqstm1,none
Usp39_Snhg3,Usp39,Snhg3,up
Trappc8_Cd69,Trappc8,Cd69,none
Ogt_Gm43707,Ogt,Gm43707,none
Rps19_Adam8,Rps19,Adam8,none
Ctdnep1_Ifitm2,Ctdnep1,Ifitm2,none
Cog3_Zmym4,Cog3,Zmym4,none
Nolc1_Cacna1d,Nolc1,Cacna1d,none
Heatr1_Crip1,Heatr1,Crip1,down
Strip1_Gngt2,Strip1,Gngt2,down
Nckap1l_Adap2,Nckap1l,Adap2,none
Zfp36_Cxcl2,Zfp36,Cxcl2,up
Adnp_Glrx,Adnp,Glrx,down
Hsp90b1_Ms4a6b,Hsp90b1,Ms4a6b,none
Runx1_Ms4a6b,Runx1,Ms4a6b,down
Mta2_Oasl1,Mta2,Oasl1,up
Traf2_Gclm,Traf2,Gclm,none
Atp6v0e_Clec4e,Atp6v0e,Clec4e,up
Srsf10_Tbrg1,Srsf10,Tbrg1,none
Hsp90b1_Ccnd1,Hsp90b1,Ccnd1,up
Usp7_Apbb1ip,Usp7,Apbb1ip,none
Junb_Ebi3,Junb,Ebi3,down
Daxx_Vegfa,Daxx,Vegfa,up
Rcl1_Uchl1,Rcl1,Uchl1,down
Nrbf2_Cd36,Nrbf2,Cd36,up
Sel1l_Hspa5,Sel1l,Hspa5,up
Ddx5_Serpine1,Ddx5,Serpine1,up
Mta2_S100a10,Mta2,S100a10,up
Vps4b_Cmpk2,Vps4b,Cmpk2,up
Ncor2_Cd44,Ncor2,Cd44,none
Gins4_Rmdn3,Gins4,Rmdn3,up
Cdc123_Chchd10,Cdc123,Chchd10,up
Eif5_Prdx1,Eif5,Prdx1,none
Rps19_Cd36,Rps19,Cd36,up
Nol10_Blvrb,Nol10,Blvrb,down
Dpm2_Stmn1,Dpm2,Stmn1,down
Dph3_Adamtsl5,Dph3,Adamtsl5,none
Ints9_Ptpn6,Ints9,Ptpn6,down
Ticam2_Gpr84,Ticam2,Gpr84,none
Gins2_Ccnd1,Gins2,Ccnd1,up
Ndc80_H2-Q7,Ndc80,H2-Q7,none
Urm1_Eif2s3y,Urm1,Eif2s3y,none
Ylpm1_Il1rn,Ylpm1,Il1rn,down
Pten_Serpinb6b,Pten,Serpinb6b,up
Irak4_Gbp8,Irak4,Gbp8,none
Nkap_Serpinb6a,Nkap,Serpinb6a,up
Cwc25_Gm34821,Cwc25,Gm34821,none
Wdr61_Ppp1cc,Wdr61,Ppp1cc,none
Rrp1_Rapgef5,Rrp1,Rapgef5,none
Pafah1b1_Mir22hg,Pafah1b1,Mir22hg,none
Rb1_Anxa3,Rb1,Anxa3,none
Ctdnep1_Zfp512,Ctdnep1,Zfp512,none
Nol10_Ccl9,Nol10,Ccl9,none
Rrp1_Phlda3,Rrp1,Phlda3,up
Traf3_Il4i1,Traf3,Il4i1,up
Rpl4_Ifih1,Rpl4,Ifih1,up
Vps41_Xcr1,Vps41,Xcr1,none
Actr6_Cd36,Actr6,Cd36,none
Nop16_Serpinb6a,Nop16,Serpinb6a,none
Wdr1_Prdx5,Wdr1,Prdx5,none
Snrnp27_Kctd12,Snrnp27,Kctd12,none
Vhl_Clec4n,Vhl,Clec4n,none
Prpf6_Lipa,Prpf6,Lipa,none
Nob1_Il1a,Nob1,Il1a,down
Ncbp1_Cd48,Ncbp1,Cd48,down
Vps72_Rab11fip1,Vps72,Rab11fip1,down
Bcl6_Slamf9,Bcl6,Slamf9,down
Cul1_Rcbtb1,Cul1,Rcbtb1,none
Vhl_Ly6a,Vhl,Ly6a,none
Rc3h1_Ccl4,Rc3h1,Ccl4,up
Myd88_Ptafr,Myd88,Ptafr,up
Ddb1_Pate2,Ddb1,Pate2,none
Aip_Cd14,Aip,Cd14,up
Rpp21_Phgdh,Rpp21,Phgdh,up
Wdr48_Cotl1,Wdr48,Cotl1,down
Gins4_Npy,Gins4,Npy,none
Ss18_Apbb2,Ss18,Apbb2,up
Wdr1_Gusb,Wdr1,Gusb,none
Cop1_Cflar,Cop1,Cflar,none
Dr1_Cd300ld,Dr1,Cd300ld,up
Lamtor2_Ifih1,Lamtor2,Ifih1,none
Fbxo11_Actb,Fbxo11,Actb,none
Bap1_H2aj,Bap1,H2aj,none
Rpap2_Polr2a,Rpap2,Polr2a,up
Pten_Gdf15,Pten,Gdf15,none
Rrp1_Tubb6,Rrp1,Tubb6,none
Cog8_Cotl1,Cog8,Cotl1,down
Nfkbiz_S100a1,Nfkbiz,S100a1,none
Suz12_Snhg4,Suz12,Snhg4,none
Wdr3_Abca1,Wdr3,Abca1,up
Cnot2_Cdk18,Cnot2,Cdk18,none
Pten_Zfand4,Pten,Zfand4,none
Nrbf2_Gm56955,Nrbf2,Gm56955,none
Yrdc_Cop1,Yrdc,Cop1,none
Ly96_Serp1,Ly96,Serp1,down
Rpn1_Ptk2,Rpn1,Ptk2,none
Ptpn2_Cd300c2,Ptpn2,Cd300c2,none
Ncor2_Mmp12,Ncor2,Mmp12,up
Dph3_Trem2,Dph3,Trem2,up
Gins2_Ttc16,Gins2,Ttc16,none
Cct7_Ifit3,Cct7,Ifit3,up
Hira_Fcgr4,Hira,Fcgr4,up
Dda1_Lima1,Dda1,Lima1,down
Strap_Mmp14,Strap,Mmp14,none
Acin1_Nabp1,Acin1,Nabp1,up
Wdr75_Etnk1,Wdr75,Etnk1,up
Ankrd11_Hoxb4,Ankrd11,Hoxb4,none
Abi1_Ccnd1,Abi1,Ccnd1,none
Rps3_Cdk2ap2,Rps3,Cdk2ap2,none
Irf2_Trim30c,Irf2,Trim30c,up
Cct7_Tuba1c,Cct7,Tuba1c,up
Msto1_Bnip3,Msto1,Bnip3,down
Rps19_Taldo1,Rps19,Taldo1,down
Dync1h1_Cd14,Dync1h1,Cd14,none
Actr2_Calr,Actr2,Calr,none
Bag6_Med29,Bag6,Med29,up
Zfp710_Mbd4,Zfp710,Mbd4,none
Atg9a_Polr2a,Atg9a,Polr2a,none
Rc3h1_Malt1,Rc3h1,Malt1,down
Ppp2r1a_Morrbid,Ppp2r1a,Morrbid,none
Rpl4_Actb,Rpl4,Actb,down
Ctdspl2_Cst7,Ctdspl2,Cst7,down
Cog8_Cxcl2,Cog8,Cxcl2,up
Nrbf2_Prdx1,Nrbf2,Prdx1,up
Tbc1d10b_Tmem178,Tbc1d10b,Tmem178,up
Cct3_Ms4a6b,Cct3,Ms4a6b,down
Ncor2_Kctd12,Ncor2,Kctd12,up
Tbk1_Polr2g,Tbk1,Polr2g,down
Cbll1_S100a10,Cbll1,S100a10,down
Irf9_Ms4a4c,Irf9,Ms4a4c,down
Tlr4_Bcl2a1d,Tlr4,Bcl2a1d,down
Tsc2_Car2,Tsc2,Car2,none
Rpn1_Psma6,Rpn1,Psma6,down
Wnk1_Fcgr2b,Wnk1,Fcgr2b,none
Med25_Ly6a,Med25,Ly6a,none
Mapkapk2_2410017I17Rik,Mapkapk2,2410017I17Rik,none
Myd88_Ctsl,Myd88,Ctsl,none
Leng1_Manf,Leng1,Manf,none
Dad1_Jup,Dad1,Jup,none
Fzr1_Dnajc1,Fzr1,Dnajc1,up
Gosr2_Rab32,Gosr2,Rab32,none
Eif1ad_1110038B12Rik,Eif1ad,1110038B12Rik,up
Ticam2_Neat1,Ticam2,Neat1,none
Tyrobp_1500015A07Rik,Tyrobp,1500015A07Rik,none
Exosc7_Igtp,Exosc7,Igtp,none
Slc7a6os_Saa3,Slc7a6os,Saa3,down
Uxt_Gls,Uxt,Gls,up
Hsp90ab1_Trem2,Hsp90ab1,Trem2,none
Nckap1l_Cotl1,Nckap1l,Cotl1,down
Cct3_Cdkn2d,Cct3,Cdkn2d,none
Tsc2_H4c11,Tsc2,H4c11,none
Kdm1a_Gm6209,Kdm1a,Gm6209,up
Il10rb_Cd81,Il10rb,Cd81,none
Cfdp1_H2-Q7,Cfdp1,H2-Q7,up
Usp9x_Akr1b3,Usp9x,Akr1b3,none
Strip1_Ctsl,Strip1,Ctsl,up
Cdc123_Vmp1,Cdc123,Vmp1,none
Orc4_Malt1,Orc4,Malt1,none
Cul2_Bnip3,Cul2,Bnip3,up
Vps18_Lgals3,Vps18,Lgals3,up
Pik3r4_Mmp9,Pik3r4,Mmp9,none
Arpc2_S100a11,Arpc2,S100a11,none
Prpf19_Cmpk2,Prpf19,Cmpk2,up
Exoc5_Saa3,Exoc5,Saa3,none
Atp6v0e_S100a10,Atp6v0e,S100a10,none
Mtor_Golm1,Mtor,Golm1,none
Spout1_Ccl2,Spout1,Ccl2,none
Pi4kb_Actb,Pi4kb,Actb,down
Spop_Car2,Spop,Car2,up
Prpf40a_H1f2,Prpf40a,H1f2,up
Nelfcd_Gbp5,Nelfcd,Gbp5,none
Ndc80_Slc20a2,Ndc80,Slc20a2,up
Kin_Clvs1,Kin,Clvs1,none
Nop16_Itgam,Nop16,Itgam,none
Srrd_Tubb6,Srrd,Tubb6,none
Sptlc1_Il15,Sptlc1,Il15,up
Zfp207_Procr,Zfp207,Procr,none
Rraga_Mthfd2,Rraga,Mthfd2,none
Hnrnpu_Sat1,Hnrnpu,Sat1,up
Gtf2a2_H4c9,Gtf2a2,H4c9,up
Pias1_Gbp3,Pias1,Gbp3,none
Ctdnep1_Il1rn,Ctdnep1,Il1rn,down
Polr2i_Serp1,Polr2i,Serp1,none
Irf2_Ap1s2,Irf2,Ap1s2,none
Otud5_Cmpk2,Otud5,Cmpk2,down
Heatr1_Gpnmb,Heatr1,Gpnmb,up
Dda1_Inpp5f,Dda1,Inpp5f,up
Nop16_Cd200r4,Nop16,Cd200r4,up
Atxn7l3_Picalm,Atxn7l3,Picalm,down
Atp6v0e_Alcam,Atp6v0e,Alcam,up
Cnot2_Mmp12,Cnot2,Mmp12,none
Rnf40_B430319H21Rik,Rnf40,B430319H21Rik,none
Kdm1a_Fos,Kdm1a,Fos,none
Rc3h1_Resf1,Rc3h1,Resf1,none
Lamtor4_Lgals3,Lamtor4,Lgals3,up
Pten_Ms4a6b,Pten,Ms4a6b,down
Srsf7_Calr,Srsf7,Calr,none
Stk11_Ctla2b,Stk11,Ctla2b,up
Trappc1_Rabac1,Trappc1,Rabac1,up
Smg5_Sos2,Smg5,Sos2,none
Gpn2_Slc3a2,Gpn2,Slc3a2,none
Kras_Junb,Kras,Junb,up
Gtf2h1_Btg1,Gtf2h1,Btg1,none
Vps72_Gphn,Vps72,Gphn,none
Dcaf13_1110038B12Rik,Dcaf13,1110038B12Rik,up
Tbc1d10b_Igf1,Tbc1d10b,Igf1,none
Trem2_Ccnd1,Trem2,Ccnd1,down
Prdm1_Ifi206,Prdm1,Ifi206,none
Ddost_Pdia3,Ddost,Pdia3,up
Ctdnep1_Slamf7,Ctdnep1,Slamf7,down
Txnl4a_Snhg3,Txnl4a,Snhg3,up
Yeats4_Cd300lb,Yeats4,Cd300lb,none
Plrg1_Lfng,Plrg1,Lfng,none
Dph3_Rsad2,Dph3,Rsad2,none
Dpy30_Ftl1,Dpy30,Ftl1,none
Nfyc_Arl6ip1,Nfyc,Arl6ip1,up
Axin1_Anxa3,Axin1,Anxa3,up
Cct2_Prune2,Cct2,Prune2,none
Atg9a_Polr2g,Atg9a,Polr2g,up
Rpap2_Ccl2,Rpap2,Ccl2,none
Urm1_Rasgef1b,Urm1,Rasgef1b,none
Trrap_Gm11613,Trrap,Gm11613,up
Ttc1_Ahnak,Ttc1,Ahnak,none
Usp9x_Gm30329,Usp9x,Gm30329,none
Smc3_Lipa,Smc3,Lipa,up
Gins4_Gls,Gins4,Gls,none
Psmd4_Pilra,Psmd4,Pilra,none
Stag2_Cpe,Stag2,Cpe,down
Yeats4_Krtcap2,Yeats4,Krtcap2,none
Dcaf7_Mtdh,Dcaf7,Mtdh,none
Pi4kb_Tnfsf9,Pi4kb,Tnfsf9,up
Eif2s1_Gm49959,Eif2s1,Gm49959,none
Rps3_Eif5,Rps3,Eif5,up
Ctdspl2_Aif1,Ctdspl2,Aif1,down
Fzr1_Ddx56,Fzr1,Ddx56,up
Mcm4_Prdx1,Mcm4,Prdx1,none
Tmem258_Hspa5,Tmem258,Hspa5,up
Exoc5_Cmpk2,Exoc5,Cmpk2,none
Junb_Polr2g,Junb,Polr2g,none
Arid1a_Psd3,Arid1a,Psd3,down
Ippk_Enpp4,Ippk,Enpp4,up
Dpm3_Serpina3g,Dpm3,Serpina3g,up
Psmd13_Trem2,Psmd13,Trem2,none
Trrap_Resf1,Trrap,Resf1,none
Psmd1_Cxcl2,Psmd1,Cxcl2,up
Spout1_Rap2a,Spout1,Rap2a,none
E4f1_Hmox1,E4f1,Hmox1,down
Snx13_Fap,Snx13,Fap,none
Srcap_Glrx,Srcap,Glrx,down
Rpl4_Pcdh7,Rpl4,Pcdh7,none
Rraga_Flrt3,Rraga,Flrt3,none
Atp6v1b2_Zfas1,Atp6v1b2,Zfas1,none
Fzr1_Cd63,Fzr1,Cd63,none
Aip_Tgm2,Aip,Tgm2,up
Ehmt2_Slc16a6,Ehmt2,Slc16a6,none
Trappc1_Pcdh7,Trappc1,Pcdh7,none
Ippk_Ahnak,Ippk,Ahnak,none
Atp6v0e_Manf,Atp6v0e,Manf,none
Ddx41_Lgals3,Ddx41,Lgals3,up
Paf1_Saa3,Paf1,Saa3,none
Mapkapk2_Gbe1,Mapkapk2,Gbe1,none
Taf5l_Pmp22,Taf5l,Pmp22,down
Gosr2_Asns,Gosr2,Asns,up
Syvn1_Zfp629,Syvn1,Zfp629,none
Wdr48_Elk3,Wdr48,Elk3,down
Ptpa_Lmna,Ptpa,Lmna,up
Bap1_Gm57450,Bap1,Gm57450,none
Med25_Vav3,Med25,Vav3,none
Jtb_Ran,Jtb,Ran,none
Ctcf_Slamf7,Ctcf,Slamf7,down
Uxt_Gm11613,Uxt,Gm11613,up
Arid1a_Gm5150,Arid1a,Gm5150,up
Mbtps2_Chchd10,Mbtps2,Chchd10,up
Pik3r4_Sqstm1,Pik3r4,Sqstm1,up
Rhoa_Cox6a2,Rhoa,Cox6a2,none
Nob1_Ccnd1,Nob1,Ccnd1,none
Dpy30_Lmna,Dpy30,Lmna,none
Dad1_Adgre5,Dad1,Adgre5,none
Aip_Cxcl2,Aip,Cxcl2,none
Chmp3_Fcgr2b,Chmp3,Fcgr2b,down
Lamtor2_Vat1,Lamtor2,Vat1,up
Ifnar1_Ms4a4c,Ifnar1,Ms4a4c,down
Srcap_Lrp1,Srcap,Lrp1,down
Mideas_Fcgr4,Mideas,Fcgr4,down
Trappc1_Pilra,Trappc1,Pilra,none
Pfn1_Mthfd2,Pfn1,Mthfd2,none
Wdr43_Ctsl,Wdr43,Ctsl,none
Mafb_Sqstm1,Mafb,Sqstm1,none
Rps5_Acod1,Rps5,Acod1,down
Tnfaip3_Lipa,Tnfaip3,Lipa,none
Trem2_Lgals3,Trem2,Lgals3,down
Mbtps2_Stmn1,Mbtps2,Stmn1,none
Ing3_Serp1,Ing3,Serp1,none
Cul2_S100a1,Cul2,S100a1,none
Psmd13_Ccl6,Psmd13,Ccl6,none
Ehmt2_Lztfl1,Ehmt2,Lztfl1,down
Ddx6_Cacna1d,Ddx6,Cacna1d,up
Gosr2_Gclm,Gosr2,Gclm,none
Eif1ad_Calr,Eif1ad,Calr,down
Ddx41_Sat1,Ddx41,Sat1,none
Egln1_Phf11a,Egln1,Phf11a,none
Ddx6_Fancm,Ddx6,Fancm,none
Txnl4a_Inhba,Txnl4a,Inhba,none
Ric1_Mir22hg,Ric1,Mir22hg,none
Sel1l_Dnajc3,Sel1l,Dnajc3,up
Tnpo3_St3gal5,Tnpo3,St3gal5,none
Psmg4_Sqstm1,Psmg4,Sqstm1,up
Med25_Mthfd2,Med25,Mthfd2,none
Wdr1_Nsun2,Wdr1,Nsun2,none
Pias1_Lipa,Pias1,Lipa,none
Wdr70_Ahnak,Wdr70,Ahnak,up
Rptor_Lgals1,Rptor,Lgals1,down
Cwc25_Mdc1,Cwc25,Mdc1,none
Bop1_Ccrl2,Bop1,Ccrl2,none
Dr1_Cd9,Dr1,Cd9,up
Klf6_Hspa5,Klf6,Hspa5,none
Bop1_Sec31a,Bop1,Sec31a,none
Cct7_Mmp9,Cct7,Mmp9,up
Dido1_Trib3,Dido1,Trib3,none
Gpn2_Neat1,Gpn2,Neat1,none
Xpo1_Klhl24,Xpo1,Klhl24,up
Derl2_Ecpas,Derl2,Ecpas,none
Scap_Lhfpl2,Scap,Lhfpl2,up
Ss18_Aif1,Ss18,Aif1,down
Egln1_Gapdh,Egln1,Gapdh,up
Pafah1b1_Aif1,Pafah1b1,Aif1,down
Ticam2_Oasl1,Ticam2,Oasl1,down
Pfdn2_Heatr9,Pfdn2,Heatr9,up
Ube4b_Sh3yl1,Ube4b,Sh3yl1,none
Snrnp70_H2-M2,Snrnp70,H2-M2,none
Tgif1_Cdkn2d,Tgif1,Cdkn2d,up
Vps72_Vat1,Vps72,Vat1,none
Cog3_Ahnak,Cog3,Ahnak,none
Mideas_Adam8,Mideas,Adam8,up
Urm1_Smpdl3a,Urm1,Smpdl3a,up
Mtor_Fcgr2b,Mtor,Fcgr2b,none
Heatr1_Abca1,Heatr1,Abca1,up
Suz12_Met,Suz12,Met,none
Rae1_Tent5a,Rae1,Tent5a,up
Rpap2_Prdx1,Rpap2,Prdx1,none
Ncbp1_Slc3a2,Ncbp1,Slc3a2,up
Snapc3_2310001H17Rik,Snapc3,2310001H17Rik,up
Arid1a_Oasl1,Arid1a,Oasl1,none
Dda1_Hif1a,Dda1,Hif1a,none
Dcaf13_C3,Dcaf13,C3,none
Ppp6c_Ccl2,Ppp6c,Ccl2,up
Ubr4_Cd53,Ubr4,Cd53,none
Dpm3_Calr,Dpm3,Calr,up
Tnpo3_Manf,Tnpo3,Manf,none
Gtf2a2_Ifit3,Gtf2a2,Ifit3,down
Orc4_Snhg1,Orc4,Snhg1,up
Dync1i2_Gpnmb,Dync1i2,Gpnmb,up
Rbm15_Creg1,Rbm15,Creg1,none
Tnfaip3_Arl5c,Tnfaip3,Arl5c,none
Hsp90b1_Hspa5,Hsp90b1,Hspa5,up
Tpr_Lrp12,Tpr,Lrp12,none
Usp39_Ahnak,Usp39,Ahnak,up
Axin1_Oasl1,Axin1,Oasl1,none
Emc7_Tmcc3,Emc7,Tmcc3,up
Fbxo11_Vma21,Fbxo11,Vma21,none
Gtf2h1_Hmox1,Gtf2h1,Hmox1,down
Trappc8_Ccl4,Trappc8,Ccl4,none
Nckap1l_Oasl1,Nckap1l,Oasl1,none
Pik3c3_E230013L22Rik,Pik3c3,E230013L22Rik,none
Paf1_Actb,Paf1,Actb,none
Hdac3_Pgm1,Hdac3,Pgm1,none
Pfn1_Cd63,Pfn1,Cd63,none
Ppp6c_Smim19,Ppp6c,Smim19,none
Ticam2_Polr2g,Ticam2,Polr2g,down
Derl2_Creg1,Derl2,Creg1,none
Srsf10_Glrx,Srsf10,Glrx,down
Cct7_Saa3,Cct7,Saa3,down
Ppp6c_Prdx5,Ppp6c,Prdx5,down
Ticam2_Rapgef5,Ticam2,Rapgef5,up
Srsf7_Rab32,Srsf7,Rab32,down
Vps18_Sqstm1,Vps18,Sqstm1,up
Eftud2_Snhg4,Eftud2,Snhg4,up
Rps26_Cmpk2,Rps26,Cmpk2,up
Rab7_Ggta1,Rab7,Ggta1,up
Cul1_Sec11c,Cul1,Sec11c,none
Myc_Ctsl,Myc,Ctsl,none
Hsp90ab1_Aif1,Hsp90ab1,Aif1,none
Phb2_Ctsc,Phb2,Ctsc,none
Jak1_Kdm6b,Jak1,Kdm6b,none
Actr10_Slc25a4,Actr10,Slc25a4,none
Pgm3_Actb,Pgm3,Actb,none
Dusp1_Gclm,Dusp1,Gclm,none
Ric1_Slamf9,Ric1,Slamf9,down
Cog5_Fchsd2,Cog5,Fchsd2,none
Ap3b1_Ctsc,Ap3b1,Ctsc,down
Ddx18_Ckb,Ddx18,Ckb,down
Gspt1_Cd300a,Gspt1,Cd300a,up
Polr1f_Otud1,Polr1f,Otud1,up
Spop_Cip2a,Spop,Cip2a,none
Wtap_Clec4d,Wtap,Clec4d,up
Cfdp1_Mansc1,Cfdp1,Mansc1,none
Srsf1_Trem2,Srsf1,Trem2,up
Ppp2r2a_Hopx,Ppp2r2a,Hopx,up
Cwc25_Vwa5a,Cwc25,Vwa5a,none
Srcap_Gpnmb,Srcap,Gpnmb,none
Sfpq_Hmox1,Sfpq,Hmox1,down
Ss18_Gpr84,Ss18,Gpr84,none
Mcm4_S100a10,Mcm4,S100a10,none
Cd14_Polr2g,Cd14,Polr2g,down
Vps33a_Zfp330,Vps33a,Zfp330,none
Rpl4_Selenop,Rpl4,Selenop,none
Tpt1_Xylt2,Tpt1,Xylt2,down
Mbtps2_Fcrls,Mbtps2,Fcrls,none
Exoc5_Large1,Exoc5,Large1,none
Rps5_Ifih1,Rps5,Ifih1,up
Ctdnep1_Taf3,Ctdnep1,Taf3,none
Tirap_C1qb,Tirap,C1qb,none
Pik3r4_Gpnmb,Pik3r4,Gpnmb,up
Nelfcd_H3f3b,Nelfcd,H3f3b,up
Ints1_Rapgef5,Ints1,Rapgef5,none
Eif4a1_Abca1,Eif4a1,Abca1,up
Becn1_Scpep1,Becn1,Scpep1,up
Tnfaip3_Cd72,Tnfaip3,Cd72,down
Rnf40_Tasor,Rnf40,Tasor,none
Ccdc22_Fabp4,Ccdc22,Fabp4,up
Ogdh_Gapdh,Ogdh,Gapdh,up
Ap3b1_Clec4e,Ap3b1,Clec4e,none
Becn1_Creg1,Becn1,Creg1,up
Mcm4_Pbxip1,Mcm4,Pbxip1,none
Brd2_Igtp,Brd2,Igtp,up
Paf1_Gla,Paf1,Gla,up
Cog8_Ms4a6b,Cog8,Ms4a6b,down
Plrg1_Eif5,Plrg1,Eif5,none
Traf2_Vegfb,Traf2,Vegfb,none
Mta2_Hmox1,Mta2,Hmox1,down
Hsp90b1_Fzd1,Hsp90b1,Fzd1,none
Sbno2_Hacd4,Sbno2,Hacd4,none
Traf3_Col24a1,Traf3,Col24a1,none
Myc_Cav1,Myc,Cav1,none
Bap1_Cox6a2,Bap1,Cox6a2,none
Dhx15_Rnf128,Dhx15,Rnf128,up
Rbck1_Marcksl1,Rbck1,Marcksl1,down
Atf4_Mir22hg,Atf4,Mir22hg,none
Ube2m_Mmp12,Ube2m,Mmp12,up
Acin1_Gm21188,Acin1,Gm21188,down
Cd14_Heca,Cd14,Heca,none
Bloc1s1_Glrx,Bloc1s1,Glrx,down
Lamtor4_Rybp,Lamtor4,Rybp,none
Arpc3_Ccrl2,Arpc3,Ccrl2,up
Gtf2h1_Creg1,Gtf2h1,Creg1,up
Ppp2r2a_Snhg12,Ppp2r2a,Snhg12,none
Actl6a_3110083C13Rik,Actl6a,3110083C13Rik,none
Tpr_Btg1,Tpr,Btg1,up
Prpf38b_Ddit3,Prpf38b,Ddit3,none
Psmd13_Trappc9,Psmd13,Trappc9,up
Vps72_Car2,Vps72,Car2,none
Arih1_St3gal5,Arih1,St3gal5,none
Daxx_Cd36,Daxx,Cd36,none
Cmtr1_Vmp1,Cmtr1,Vmp1,none
Actl6a_Gpnmb,Actl6a,Gpnmb,up
Arid1a_Akt3,Arid1a,Akt3,none
Ogt_Cd69,Ogt,Cd69,up
Cct2_Pmepa1,Cct2,Pmepa1,none
Arpc3_Sqstm1,Arpc3,Sqstm1,up
Irak4_Ptafr,Irak4,Ptafr,up
Oxsr1_Npy,Oxsr1,Npy,up
Ippk_Anxa3,Ippk,Anxa3,down
Rragc_Sqstm1,Rragc,Sqstm1,up
Xpo1_Lgals3,Xpo1,Lgals3,none
Ctdspl2_Abca1,Ctdspl2,Abca1,none
Paf1_Ccrl2,Paf1,Ccrl2,none
Wnk1_Mt1,Wnk1,Mt1,up
Psmd1_Cmpk2,Psmd1,Cmpk2,none
Eif4a1_Fxyd5,Eif4a1,Fxyd5,down
Dusp1_Itga4,Dusp1,Itga4,down
Suz12_Hopx,Suz12,Hopx,none
Gtf2h1_Ckb,Gtf2h1,Ckb,none
Rngtt_1110038B12Rik,Rngtt,1110038B12Rik,none
Ptpn2_Iigp1,Ptpn2,Iigp1,up
Prpf40a_Pf4,Prpf40a,Pf4,none
Rpp21_Tax1bp1,Rpp21,Tax1bp1,none
Atxn7l3_Psma6,Atxn7l3,Psma6,none
Med20_H2-Q7,Med20,H2-Q7,up
Srrd_Ttc39c,Srrd,Ttc39c,up
Traf3_Tcf4,Traf3,Tcf4,none
Wdr48_Il6,Wdr48,Il6,none
Leng8_Cd200r1,Leng8,Cd200r1,none
Rpl10_Mms22l,Rpl10,Mms22l,none
Wdr1_Gnat3,Wdr1,Gnat3,none
Mta2_Ms4a4c,Mta2,Ms4a4c,none
Snx14_Gpr84,Snx14,Gpr84,none
Actr10_Fam111a,Actr10,Fam111a,none
Rbm14_Ccl9,Rbm14,Ccl9,none
Vps41_Acod1,Vps41,Acod1,none
Snx13_Pcdh7,Snx13,Pcdh7,none
Cmtr1_Gadd45g,Cmtr1,Gadd45g,up
Dohh_Blvrb,Dohh,Blvrb,down
Smg5_Timp2,Smg5,Timp2,none
Smarcd2_Snhg3,Smarcd2,Snhg3,none
Trappc8_Ift20,Trappc8,Ift20,up
Pfdn6_Cfp,Pfdn6,Cfp,none
Mafb_Cfb,Mafb,Cfb,up
Suz12_Cd69,Suz12,Cd69,none
Gins3_Arhgap10,Gins3,Arhgap10,down
Tmem258_Dnajc3,Tmem258,Dnajc3,up
Psmd1_Odc1,Psmd1,Odc1,none
Tpr_S100a10,Tpr,S100a10,up
Traf2_Parvb,Traf2,Parvb,none
Chd4_Ebi3,Chd4,Ebi3,none
Axin1_Cmpk2,Axin1,Cmpk2,none
Ddx5_Cd69,Ddx5,Cd69,none
Irak4_Ms4a6b,Irak4,Ms4a6b,none
Hsp90b1_Mki67,Hsp90b1,Mki67,none
Prpf38b_Ebi3,Prpf38b,Ebi3,down
Dusp1_Procr,Dusp1,Procr,up
Vps18_Sil1,Vps18,Sil1,none
Usp9x_Sqstm1,Usp9x,Sqstm1,up
Yrdc_Ccrl2,Yrdc,Ccrl2,none
Med25_Ckb,Med25,Ckb,none
Myd88_Il1b,Myd88,Il1b,down
Kras_Itgal,Kras,Itgal,none
Wnk1_Cd36,Wnk1,Cd36,up
Ash2l_Gpr84,Ash2l,Gpr84,down
Rps5_Marcks,Rps5,Marcks,up
Nelfa_C1qb,Nelfa,C1qb,none
Egln1_Arl11,Egln1,Arl11,none
Eif2s1_Smox,Eif2s1,Smox,none
Snx14_Ifi44,Snx14,Ifi44,none
Plrg1_Sv2a,Plrg1,Sv2a,none
Il10ra_Lima1,Il10ra,Lima1,none
Rhoa_Pou3f1,Rhoa,Pou3f1,none
Qars_Il18bp,Qars,Il18bp,none
Ctdnep1_Ifit3b,Ctdnep1,Ifit3b,none
Tyrobp_Smpdl3a,Tyrobp,Smpdl3a,none
Snrnp70_Tlr1,Snrnp70,Tlr1,down
Clp1_Aif1,Clp1,Aif1,down
Psmg4_Il1a,Psmg4,Il1a,none
Ccdc22_Hsp90ab1,Ccdc22,Hsp90ab1,none
Med29_Aif1,Med29,Aif1,none
Tnfaip3_Uchl1,Tnfaip3,Uchl1,none
Hspa4_Mmp9,Hspa4,Mmp9,none
Psmg4_Rsad2,Psmg4,Rsad2,none
Meaf6_Ms4a4c,Meaf6,Ms4a4c,down
